SignalType,Xsections,N_orig,Group,CustomJson,EOSDirectory
#
#Data
DoubleMuon_Run2016B_ver2-Nano25Oct2019,1,1,DoubleMuData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
DoubleMuon_Run2016C-Nano25Oct2019,1,1,DoubleMuData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
DoubleMuon_Run2016D-Nano25Oct2019,1,1,DoubleMuData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
DoubleMuon_Run2016E-Nano25Oct2019,1,1,DoubleMuData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
DoubleMuon_Run2016F-Nano25Oct2019,1,1,DoubleMuData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
DoubleMuon_Run2016G-Nano25Oct2019,1,1,DoubleMuData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
DoubleMuon_Run2016H-Nano25Oct2019,1,1,DoubleMuData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
#
DoubleEG_Run2016B_ver2-Nano25Oct2019,1,1,DoubleEleData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
DoubleEG_Run2016C-Nano25Oct2019,1,1,DoubleEleData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
DoubleEG_Run2016D-Nano25Oct2019,1,1,DoubleEleData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
DoubleEG_Run2016E-Nano25Oct2019,1,1,DoubleEleData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
DoubleEG_Run2016F-Nano25Oct2019,1,1,DoubleEleData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
DoubleEG_Run2016G-Nano25Oct2019,1,1,DoubleEleData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
DoubleEG_Run2016H-Nano25Oct2019,1,1,DoubleEleData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
#
#
#DY+jets
DYJetsToLL_M-10to50,18610,3267618990080,ZJetsM10-50,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
#
DYToLL_0J,4755.47,531841236192,ZJetsJBin,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
DYToLL_1J,886.4694,412714337792,ZJetsJBin,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
DYToLL_2J,339.6296,212891321856,ZJetsJBin,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
#
#DiBoson
WWTo1L1Nu2Q,49.997,441171392,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
WWTo4Q,51.723,2199444816,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
WZTo1L1Nu2Q,10.71,422045312,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
WZTo1L3Nu,3.033,9357734,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
WZTo2L2Q,5.595,234019000,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
WZTo3LNu,4.42965,97448994,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
WZTo2Q2Nu,6.324,181249868,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
ZZTo4L,1.212,27089992,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
ZZTo4Q,6.896587,340455191,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
ZZTo2L2Q,3.22,78447679,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
VVTo2L2Nu,11.95,153860938,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
############# dont have ZZTo2Q2Nu,4.04,199160250,DiBoson_amcNLO,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
#
#QCD
#QCDEle
QCD_Pt-20to30_EMEnriched_,5.55E+06,9241504,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
QCD_Pt-30to50_EMEnriched_,6.96E+06,11508858,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
QCD_Pt-50to80_EMEnriched_,2.21E+06,45789059,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
QCD_Pt-80to120_EMEnriched_,4.15E+05,77811740,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
QCD_Pt-120to170_EMEnriched_,7.58E+04,78292664,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
QCD_Pt-170to300_EMEnriched_,1.88E+04,11540163,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
QCD_Pt-300toInf_EMEnriched_,1.21E+03,7380341,QCDEle,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
#QCDMu
QCD_Pt-15to20_MuEnrichedPt5_,3.63E+06,4141251,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
QCD_Pt-20to30_MuEnrichedPt5_,3.14E+06,31879148,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
QCD_Pt-30to50_MuEnrichedPt5_,1.65E+06,29883578,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
QCD_Pt-50to80_MuEnrichedPt5_,4.49E+05,19662175,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
QCD_Pt-80to120_MuEnrichedPt5_,1.05E+05,13824341,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
QCD_Pt-120to170_MuEnrichedPt5_,2.55E+04,19810477,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
QCD_Pt-170to300_MuEnrichedPt5_,8.62E+03,37139904,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
QCD_Pt-300to470_MuEnrichedPt5_,7.96E+02,49005976,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
QCD_Pt-470to600_MuEnrichedPt5_,7.92E+01,19489352,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
QCD_Pt-600to800_MuEnrichedPt5_,2.53E+01,19909529,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
QCD_Pt-800to1000_MuEnrichedPt5_,4.73E+00,19940747,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
QCD_Pt-1000toInf_MuEnrichedPt5_,1.62E+00,13556877,QCDMu,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
#
#Single Top
ST_s-channel_4f_InclusiveDecays,10.32,30289974,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
ST_t-channel_top_4f_inclusiveDecays,136.02,67975483,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
ST_t-channel_antitop_4f_inclusiveDecays,80.95,39655716,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
ST_tW_top_5f_inclusiveDecays,35.85,6952830,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
ST_tW_antitop_5f_inclusiveDecays,35.85,6933094,SingleTop,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
#
#TTBar
TT_,831.76,153790053,TTBar,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
#WJets
#
############# dont have WToLNu_0J,50279.2,5673620000000,WJetsJBin,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
############# dont have WToLNu_1J,8434.257,5768250000000,WJetsJBin,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
############# dont have WToLNu_2J,2813.243,3386070000000,WJetsJBin,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
#SM Higgs
GluGluHToBB_M125,25.34,524413576,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluHToZZTo4L_M125,0.01212,1999600,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
VBFHToBB_M-125,2.1626,17839729,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
VBF_HToZZTo4L_M125_13TeV_powheg2_JHUgenV6,0.001034,1884538,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
WH_HToBB_WToLNu_M125,0.173,3149195,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
WminusH_HToZZTo4L_M125,0.0001471,336308,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
WplusH_HToZZTo4L_M125,0.0002339,505855,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
ZH_HToBB_ZToLL_M125,0.173,6362982,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
ggZH_HToBB_ZToLL_M125,0.006954,5990000,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
ttHJetToNonbb_M125,0.2151,10142423,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
ttHJetTobb_M125,0.2934,9760079,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
VBFHToWWTo2L2Nu,3.748,1818631,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluZH_HToWW,0.8696,148525,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluHToWWTo2L2Nu,43.92,499473,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
############# dont have ZH_HToZZ_2LFilter,0.7534,942259,SMHiggs,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
#HH Signal
GluGluToRadionToHHTo2B2ZTo2L2J_M-260_narrow,0.001,299197,HHres260,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToRadionToHHTo2B2ZTo2L2J_M-270_narrow,0.001,299992,HHres270,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToRadionToHHTo2B2ZTo2L2J_M-300_narrow,0.001,299988,HHres300,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToRadionToHHTo2B2ZTo2L2J_M-350_narrow,0.001,299352,HHres350,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToRadionToHHTo2B2ZTo2L2J_M-400_narrow,0.001,299996,HHres400,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToRadionToHHTo2B2ZTo2L2J_M-450_narrow,0.001,299991,HHres450,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToRadionToHHTo2B2ZTo2L2J_M-500_narrow,0.001,299481,HHres500,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToRadionToHHTo2B2ZTo2L2J_M-550_narrow,0.001,299998,HHres550,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToRadionToHHTo2B2ZTo2L2J_M-600_narrow,0.001,297673,HHres600,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToRadionToHHTo2B2ZTo2L2J_M-650_narrow,0.001,299988,HHres650,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToRadionToHHTo2B2ZTo2L2J_M-750_narrow,0.001,299992,HHres750,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToRadionToHHTo2B2ZTo2L2J_M-800_narrow,0.001,299996,HHres800,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToRadionToHHTo2B2ZTo2L2J_M-900_narrow,0.001,299988,HHres900,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToRadionToHHTo2B2ZTo2L2J_M-1000_narrow,0.001,298559,HHres1000,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
#
GluGluToBulkGravitonToHHTo2B2ZTo2L2J_M-260_narrow,0.001,299990,HHBulkGrav260,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToBulkGravitonToHHTo2B2ZTo2L2J_M-270_narrow,0.001,299989,HHBulkGrav270,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToBulkGravitonToHHTo2B2ZTo2L2J_M-300_narrow,0.001,299490,HHBulkGrav300,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToBulkGravitonToHHTo2B2ZTo2L2J_M-350_narrow,0.001,299292,HHBulkGrav350,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToBulkGravitonToHHTo2B2ZTo2L2J_M-400_narrow,0.001,295993,HHBulkGrav400,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToBulkGravitonToHHTo2B2ZTo2L2J_M-450_narrow,0.001,293396,HHBulkGrav450,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
GluGluToBulkGravitonToHHTo2B2ZTo2L2J_M-500_narrow,0.001,299990,HHBulkGrav500,0,/store/group/phys_higgs/HiggsExo/HH_bbZZ_bbllqq/stockNano/2016/vinguyen/
